person_id,model,scaffold,seed,theta_mean,theta_sd,raw_score
claude-haiku-4-5_baseline_run1,claude-haiku-4-5,baseline,run1,-0.39239656925201416,0.3336606025695801,0.8
claude-haiku-4-5_baseline_run2,claude-haiku-4-5,baseline,run2,-0.08047139644622803,0.3384453058242798,0.78
claude-haiku-4-5_baseline_run3,claude-haiku-4-5,baseline,run3,-0.2874833941459656,0.3283924162387848,0.82
claude-haiku-4-5_baseline_run4,claude-haiku-4-5,baseline,run4,-0.8607701063156128,0.33322104811668396,0.74
claude-haiku-4-5_baseline_run5,claude-haiku-4-5,baseline,run5,-0.5909256935119629,0.3279275894165039,0.78
claude-haiku-4-5_careful_run1,claude-haiku-4-5,careful,run1,-0.5392043590545654,0.3290683627128601,0.8
claude-haiku-4-5_careful_run2,claude-haiku-4-5,careful,run2,-0.5084478855133057,0.33086922764778137,0.76
claude-haiku-4-5_careful_run3,claude-haiku-4-5,careful,run3,-0.2708165943622589,0.33759036660194397,0.78
claude-haiku-4-5_careful_run4,claude-haiku-4-5,careful,run4,-0.3765612840652466,0.325601726770401,0.82
claude-haiku-4-5_careful_run5,claude-haiku-4-5,careful,run5,-0.5528150796890259,0.3148369789123535,0.78
claude-haiku-4-5_cot_run1,claude-haiku-4-5,cot,run1,-0.4515230059623718,0.322226881980896,0.82
claude-haiku-4-5_cot_run2,claude-haiku-4-5,cot,run2,-0.361387699842453,0.3244287371635437,0.8
claude-haiku-4-5_cot_run3,claude-haiku-4-5,cot,run3,-0.3347545862197876,0.3195521831512451,0.8
claude-haiku-4-5_cot_run4,claude-haiku-4-5,cot,run4,-0.33569344878196716,0.3320727050304413,0.78
claude-haiku-4-5_cot_run5,claude-haiku-4-5,cot,run5,-0.8177903294563293,0.32048627734184265,0.74
claude-opus-4-6_baseline_run1,claude-opus-4-6,baseline,run1,1.3180056810379028,0.5143225193023682,0.92
claude-opus-4-6_baseline_run2,claude-opus-4-6,baseline,run2,1.596145510673523,0.5444064736366272,0.94
claude-opus-4-6_baseline_run3,claude-opus-4-6,baseline,run3,1.1669832468032837,0.48780906200408936,0.92
claude-opus-4-6_baseline_run4,claude-opus-4-6,baseline,run4,1.113046646118164,0.48596450686454773,0.92
claude-opus-4-6_baseline_run5,claude-opus-4-6,baseline,run5,1.2189747095108032,0.4945404827594757,0.9
claude-opus-4-6_careful_run1,claude-opus-4-6,careful,run1,1.3088407516479492,0.5346271395683289,0.92
claude-opus-4-6_careful_run2,claude-opus-4-6,careful,run2,0.9476574063301086,0.4519473910331726,0.9
claude-opus-4-6_careful_run3,claude-opus-4-6,careful,run3,1.3673410415649414,0.5135182738304138,0.9
claude-opus-4-6_careful_run4,claude-opus-4-6,careful,run4,1.3591511249542236,0.5137650966644287,0.94
claude-opus-4-6_careful_run5,claude-opus-4-6,careful,run5,1.6813910007476807,0.5519737005233765,0.96
claude-opus-4-6_cot_run1,claude-opus-4-6,cot,run1,1.6551824808120728,0.5582689046859741,0.94
claude-opus-4-6_cot_run2,claude-opus-4-6,cot,run2,1.2038191556930542,0.5011710524559021,0.9
claude-opus-4-6_cot_run3,claude-opus-4-6,cot,run3,1.654798984527588,0.563116729259491,0.94
claude-opus-4-6_cot_run4,claude-opus-4-6,cot,run4,1.8332679271697998,0.564761221408844,0.96
claude-opus-4-6_cot_run5,claude-opus-4-6,cot,run5,1.4981052875518799,0.5319141149520874,0.94
claude-sonnet-4-5_baseline_run1,claude-sonnet-4-5,baseline,run1,0.6222425699234009,0.4018726944923401,0.86
claude-sonnet-4-5_baseline_run2,claude-sonnet-4-5,baseline,run2,0.8660696744918823,0.4517456591129303,0.9
claude-sonnet-4-5_baseline_run3,claude-sonnet-4-5,baseline,run3,0.7627214789390564,0.42755094170570374,0.88
claude-sonnet-4-5_baseline_run4,claude-sonnet-4-5,baseline,run4,0.7633121013641357,0.4150446653366089,0.88
claude-sonnet-4-5_baseline_run5,claude-sonnet-4-5,baseline,run5,0.740906298160553,0.4295034110546112,0.88
claude-sonnet-4-5_careful_run1,claude-sonnet-4-5,careful,run1,0.6360388994216919,0.41253548860549927,0.86
claude-sonnet-4-5_careful_run2,claude-sonnet-4-5,careful,run2,0.9254000782966614,0.4666556417942047,0.88
claude-sonnet-4-5_careful_run3,claude-sonnet-4-5,careful,run3,0.7650575041770935,0.4222956597805023,0.88
claude-sonnet-4-5_careful_run4,claude-sonnet-4-5,careful,run4,0.75798100233078,0.4328450560569763,0.88
claude-sonnet-4-5_careful_run5,claude-sonnet-4-5,careful,run5,0.760602593421936,0.4218177795410156,0.88
claude-sonnet-4-5_cot_run1,claude-sonnet-4-5,cot,run1,0.6303995251655579,0.3941449522972107,0.86
claude-sonnet-4-5_cot_run2,claude-sonnet-4-5,cot,run2,0.8721409440040588,0.44553226232528687,0.9
claude-sonnet-4-5_cot_run3,claude-sonnet-4-5,cot,run3,0.7665449380874634,0.4223906695842743,0.88
claude-sonnet-4-5_cot_run4,claude-sonnet-4-5,cot,run4,0.8067765831947327,0.43770402669906616,0.9
claude-sonnet-4-5_cot_run5,claude-sonnet-4-5,cot,run5,1.1472458839416504,0.4768426716327667,0.9
