sample_id,a_d1_mean,a_d1_sd,a_d2_mean,a_d2_sd,a_d3_mean,a_d3_sd,a_d4_mean,a_d4_sd,d_mean,raw_p
1,-1.095274567604065,0.9307847023010254,-3.8652713298797607,0.9194804430007935,-0.8447809815406799,0.9220637679100037,-0.21712680160999298,0.7326871752738953,-3.560560464859009,0.041666666666666664
3,1.8787972927093506,0.6199803352355957,-2.484592914581299,0.2979462146759033,-3.6689324378967285,0.6068193316459656,1.9740657806396484,0.35036441683769226,2.6838936805725098,0.48333333333333334
6,-1.0482008457183838,0.89366215467453,-3.7210938930511475,0.8950591087341309,-0.8243978023529053,0.8799914121627808,-0.24283647537231445,0.6934607625007629,-3.4412386417388916,0.041666666666666664
7,-0.5293282866477966,0.7895981669425964,-1.744264006614685,0.562269926071167,0.27668869495391846,0.7855840921401978,0.3675079643726349,0.49424418807029724,-4.61163854598999,0.008333333333333333
9,-1.0906033515930176,0.928853452205658,-3.8812406063079834,0.9247090220451355,-0.8201802372932434,0.896016538143158,-0.20923271775245667,0.7341698408126831,-3.522200584411621,0.041666666666666664
11,-1.153018832206726,0.8322609663009644,-4.037273406982422,0.9784913659095764,-0.7700830698013306,0.836389422416687,0.028849007561802864,0.6529653668403625,-2.842803716659546,0.041666666666666664
12,-1.1134974956512451,0.9284947514533997,-3.87637996673584,0.9325661063194275,-0.859226405620575,0.8959892392158508,-0.22549095749855042,0.7176271080970764,-3.550915479660034,0.041666666666666664
13,4.14947509765625,0.5545876622200012,-3.1419692039489746,0.46730655431747437,-2.058032989501953,0.5628555417060852,0.2957665026187897,0.3705468773841858,-1.3053385019302368,0.2916666666666667
14,-0.9019586443901062,0.6885415315628052,-2.1293160915374756,0.4910271167755127,-2.328789472579956,0.5039153695106506,-1.4796876907348633,0.4206545948982239,-3.271681308746338,0.08333333333333333
15,-0.619012176990509,0.9094334244728088,-2.5798962116241455,0.5729160904884338,0.0305617768317461,0.804640531539917,-0.044825632125139236,0.528376042842865,-4.524930000305176,0.025
16,1.187957763671875,0.6005111336708069,1.9427449703216553,0.5526685118675232,-0.4969886839389801,0.9303873777389526,-4.201188564300537,0.5557141900062561,3.552147150039673,0.9166666666666666
17,-0.2628805935382843,0.516802191734314,-0.5003843903541565,0.3438105285167694,-1.8299016952514648,0.37244635820388794,-4.586583137512207,0.37292802333831787,-3.755596160888672,0.2916666666666667
18,1.0220019817352295,0.6344817876815796,1.5639777183532715,0.4938146471977234,0.06847623735666275,0.7458288669586182,-2.1814184188842773,0.32655298709869385,3.382692813873291,0.9583333333333334
22,-2.607379913330078,0.7531431913375854,-0.22848697006702423,0.4358031451702118,1.5111743211746216,0.6427773237228394,-4.998515605926514,0.8375877141952515,0.16109172999858856,0.5833333333333334
26,1.5806090831756592,0.6540933847427368,-0.5004655718803406,0.2886456549167633,0.21803320944309235,0.7424450516700745,-3.8207645416259766,0.5333440899848938,4.486670970916748,0.875
28,1.3804653882980347,0.7247259020805359,1.9081140756607056,0.522426187992096,-0.24803310632705688,0.7823758721351624,-2.4165432453155518,0.34895727038383484,3.552257537841797,0.9583333333333334
30,0.9618012309074402,0.4337100386619568,0.39484328031539917,0.28829556703567505,0.0451616495847702,0.6329272389411926,-3.6428232192993164,0.5225021839141846,2.9418628215789795,0.875
32,-1.0976418256759644,0.8047740459442139,-3.8611016273498535,0.9170554876327515,-0.7718398571014404,0.8090410828590393,-0.019728051498532295,0.641061544418335,-2.8965461254119873,0.041666666666666664
34,-1.0655152797698975,0.9549469351768494,-3.901731014251709,0.9526840448379517,-0.8935908675193787,0.9156112670898438,-0.2415425330400467,0.7211520671844482,-3.5846643447875977,0.041666666666666664
36,-1.051910161972046,0.9374966025352478,-3.85159969329834,0.9351171255111694,-0.823727011680603,0.9100989103317261,-0.30305781960487366,0.7404989004135132,-3.6558287143707275,0.041666666666666664
37,-1.1182187795639038,0.9219093918800354,-3.8401193618774414,0.9299785494804382,-0.8101347088813782,0.9028214812278748,-0.20796145498752594,0.7029387354850769,-3.4924514293670654,0.041666666666666664
38,-1.1095120906829834,0.8135233521461487,-3.657846450805664,0.8662755489349365,-0.763905942440033,0.7918714880943298,-0.02892625890672207,0.6084211468696594,-2.8934125900268555,0.041666666666666664
39,-1.0559178590774536,0.9863507151603699,-3.889636278152466,0.942846417427063,-0.8584280014038086,0.9081982374191284,-0.3028457760810852,0.7476744055747986,-3.7586510181427,0.041666666666666664
40,-1.1423759460449219,0.7851491570472717,-4.113755226135254,0.9767895936965942,-0.7817484736442566,0.8376920819282532,0.04039325937628746,0.6385789513587952,-2.616032600402832,0.041666666666666664
41,-1.06416654586792,0.9784130454063416,-3.880242347717285,0.9242172837257385,-0.855245053768158,0.9410006403923035,-0.2744394838809967,0.7397437691688538,-3.718128204345703,0.041666666666666664
42,-1.096245527267456,0.9150899052619934,-3.783250570297241,0.899344801902771,-0.8343030214309692,0.8994369506835938,-0.22169393301010132,0.7217722535133362,-3.5093443393707275,0.041666666666666664
44,-1.1069328784942627,0.9613062739372253,-3.744706392288208,0.9044051170349121,-0.8824974298477173,0.8855533599853516,-0.2734619975090027,0.7133660316467285,-3.6180202960968018,0.041666666666666664
45,-1.0681121349334717,0.9076167941093445,-3.929565668106079,0.944202721118927,-0.7927253246307373,0.9081363677978516,-0.1299694925546646,0.7136877775192261,-3.3603720664978027,0.041666666666666664
51,-0.5939593315124512,0.2701232135295868,1.5261406898498535,0.21109236776828766,-2.041447401046753,0.27617889642715454,-1.750012993812561,0.27962449193000793,-1.0357539653778076,0.55
53,-3.288569927215576,0.5148912668228149,0.28160738945007324,0.2623594403266907,-1.3464678525924683,0.356207937002182,-2.9542434215545654,0.5156971216201782,1.2416136264801025,0.6333333333333333
54,1.465782880783081,0.5316831469535828,-1.3482528924942017,0.38162127137184143,0.4057799279689789,0.6459492444992065,-4.494163990020752,0.7421616315841675,4.392327785491943,0.8333333333333334
55,1.1540440320968628,0.6038629412651062,1.8799375295639038,0.5387386679649353,-0.5107418298721313,0.8985480666160583,-4.196773052215576,0.56122887134552,3.5761170387268066,0.9166666666666666
57,-0.24137236177921295,0.3058757781982422,2.482146739959717,0.5217059254646301,-1.24237060546875,0.6727406978607178,-3.908069372177124,0.5498887300491333,2.224071979522705,0.875
60,-0.10664713382720947,0.3420426547527313,1.8713692426681519,0.44272321462631226,-1.2116633653640747,0.533806562423706,-1.8842017650604248,0.30826056003570557,2.5667147636413574,0.925
78,-1.511099100112915,0.6963254809379578,0.0647844597697258,0.3473515808582306,-1.8015410900115967,0.5185325145721436,0.08183347433805466,0.4200490415096283,-4.466655731201172,0.025
79,0.715051531791687,0.7380079030990601,1.448451280593872,0.6154571175575256,-0.15421873331069946,0.8270233869552612,-1.3107398748397827,0.398895800113678,4.401837348937988,0.9916666666666667
84,3.3725197315216064,0.5197046995162964,-1.0082467794418335,0.23321162164211273,0.3686675429344177,0.3835483491420746,-0.6205503940582275,0.2953037917613983,3.9771039485931396,0.8833333333333333
85,3.634474754333496,0.5281690955162048,1.0265436172485352,0.2955860197544098,-1.0172107219696045,0.39478155970573425,-1.7899893522262573,0.30811014771461487,2.5751583576202393,0.875
89,-1.3954726457595825,0.41928911209106445,-0.8098652958869934,0.42992645502090454,1.3849756717681885,0.5701418519020081,-4.477901935577393,0.8314785957336426,1.242539405822754,0.6083333333333333
123,2.331130027770996,0.433465838432312,-2.654961347579956,0.3435250520706177,-3.566986560821533,0.5919279456138611,-0.19388866424560547,0.2857571840286255,0.514957070350647,0.38333333333333336
124,-0.826444149017334,0.7445270419120789,-2.937546968460083,0.6614035367965698,-0.13583076000213623,0.7504199147224426,0.20504771173000336,0.5059776902198792,-3.2732863426208496,0.03333333333333333
125,-1.184409737586975,0.7969706654548645,-4.161266326904297,0.9862085580825806,-0.7616995573043823,0.8235259056091309,0.09066499024629593,0.649509608745575,-2.6481428146362305,0.041666666666666664
127,-1.1107701063156128,0.9325422048568726,-3.908301591873169,0.9455573558807373,-0.8347218036651611,0.8937212228775024,-0.18460659682750702,0.7201189994812012,-3.4804534912109375,0.041666666666666664
128,-1.0690053701400757,0.9799572825431824,-3.6371452808380127,0.8637124300003052,-0.9079962372779846,0.8990566730499268,-0.35738858580589294,0.7006624341011047,-3.7368130683898926,0.041666666666666664
130,-1.0432535409927368,0.949597179889679,-3.8503918647766113,0.945549726486206,-0.84180748462677,0.922156035900116,-0.24411575496196747,0.7249590158462524,-3.5664193630218506,0.041666666666666664
132,-1.0632864236831665,0.8933305740356445,-3.9407668113708496,0.9595908522605896,-0.7950546741485596,0.8567481637001038,-0.07155293971300125,0.6934618949890137,-3.1929731369018555,0.041666666666666664
134,-1.1062853336334229,0.9042014479637146,-3.929265022277832,0.9659201502799988,-0.8486433029174805,0.8881679177284241,-0.1708502173423767,0.724005937576294,-3.4051642417907715,0.041666666666666664
136,-2.5768685340881348,0.7637100219726562,-0.14002957940101624,0.43600788712501526,1.518060326576233,0.6236994862556458,-5.083425045013428,0.8611429333686829,-0.0193410012871027,0.5833333333333334
140,-2.671828508377075,0.684735894203186,0.02286011539399624,0.3541693389415741,1.1906534433364868,0.6200733184814453,-4.396594524383545,0.7775146961212158,0.649095356464386,0.6
142,-3.859121561050415,0.7240781784057617,1.7385430335998535,0.37114059925079346,1.144388198852539,0.6009632349014282,-2.916785955429077,0.4656544625759125,1.0512388944625854,0.6666666666666666
144,1.4179130792617798,0.5672695636749268,2.338419198989868,0.5356473922729492,-0.3913710415363312,0.8078047037124634,-4.095945358276367,0.5529124736785889,2.703364133834839,0.9166666666666666
147,1.0889818668365479,0.40536484122276306,-0.8752151727676392,0.3509038984775543,0.18787437677383423,0.566563069820404,-4.453785419464111,0.7074840664863586,3.4522178173065186,0.825
