person_id,model,scaffold,seed,theta_mean,theta_sd,raw_score
claude-haiku-4-5|baseline|run1,claude-haiku-4-5,baseline,run1,-0.5032851696014404,0.13338372111320496,0.6298701298701299
claude-haiku-4-5|baseline|run2,claude-haiku-4-5,baseline,run2,-0.5007593631744385,0.13453391194343567,0.6298701298701299
claude-haiku-4-5|baseline|run3,claude-haiku-4-5,baseline,run3,-0.5080137252807617,0.1306067705154419,0.6233766233766234
claude-haiku-4-5|baseline|run4,claude-haiku-4-5,baseline,run4,-0.5037020444869995,0.13537131249904633,0.6298701298701299
claude-haiku-4-5|baseline|run5,claude-haiku-4-5,baseline,run5,-0.47265154123306274,0.13021422922611237,0.6298701298701299
claude-haiku-4-5|careful|run1,claude-haiku-4-5,careful,run1,-0.4441480040550232,0.13308437168598175,0.6428571428571429
claude-haiku-4-5|careful|run2,claude-haiku-4-5,careful,run2,-0.5041285157203674,0.13186988234519958,0.6298701298701299
claude-haiku-4-5|careful|run3,claude-haiku-4-5,careful,run3,-0.5867498517036438,0.13631345331668854,0.6168831168831169
claude-haiku-4-5|careful|run4,claude-haiku-4-5,careful,run4,-0.5235340595245361,0.13287711143493652,0.6233766233766234
claude-haiku-4-5|careful|run5,claude-haiku-4-5,careful,run5,-0.5087980031967163,0.13246922194957733,0.6233766233766234
claude-haiku-4-5|careless|run1,claude-haiku-4-5,careless,run1,-0.017456788569688797,0.12317099422216415,0.7337662337662337
claude-haiku-4-5|careless|run2,claude-haiku-4-5,careless,run2,0.05009320378303528,0.12113644927740097,0.7597402597402597
claude-haiku-4-5|careless|run3,claude-haiku-4-5,careless,run3,-0.014895145781338215,0.1226944550871849,0.7402597402597403
claude-haiku-4-5|careless|run4,claude-haiku-4-5,careless,run4,-0.08577775955200195,0.12591451406478882,0.7207792207792207
claude-haiku-4-5|careless|run5,claude-haiku-4-5,careless,run5,-0.07356631755828857,0.12442101538181305,0.7207792207792207
claude-haiku-4-5|cautious_scientist|run1,claude-haiku-4-5,cautious_scientist,run1,-1.743329405784607,0.17203477025032043,0.461038961038961
claude-haiku-4-5|cautious_scientist|run2,claude-haiku-4-5,cautious_scientist,run2,-1.7398340702056885,0.17098058760166168,0.461038961038961
claude-haiku-4-5|cautious_scientist|run3,claude-haiku-4-5,cautious_scientist,run3,-1.6803666353225708,0.17029854655265808,0.461038961038961
